texts,Prediction
สไลด์ใช้จริงๆยากไปหน่อย จอมันลื่นเกินจะสไลด์จอลงมาได้ต้องสองนิ้ว เราต้องกด+บีบหนักๆช่วย เสียดายทำให้ต้องเลิกใช้วิธีการปลดล็อคด้วยใบหน้าที่เร็วมากๆไปเลย เพราะต้องมาเสียเวลาออกแรงสไลด์ แถมการใส่เคสที่แถมมาก็ไม่ช่วยอะไรเท่าไหร่ ไม่รู้ว่าคิดไปเองหรือเปล่า แต่เหมือน Dual GPS ก็แอบกินแบตฯหนักอยู่ โดยเฉพาะเวลาเล่น Pokemon GO ประทับใจการออกแบบเสาสัญญาในเครื่องมากๆ จับ WiFi กับสัญญาณมือถือได้ดีที่สุดตั้งแต่ใช้มาเลย เครื่องค่อนข้างกินแบตฯ ตอนนี้นั่งปรับแต่งมา 2 วันแล้วหวังว่าจะทำให้อยู่ได้ยาวกว่านี้ได้(ลอง Grayscale โหมดอยู่ไม่รู้จะช่วยได้ขนาดไหน)คือไม่อยากต้องมาแบกมือถือหนักๆติดตัวแล้วต้องมาแบก Power Bank ด้วย.....รู้สึกเจ็บปวดอ่ะ :-(,neg
ถ้าสไลด์แบบนี้มาแรง แนวคีย์บอร์ด Physical สไลด์ข้างอาจกลับมาด้วย ผมชอบนะ แต่ชอบกล้องแบบ Pop-up ของค่ายนึงมากกว่า จำชื่อไม่ได้ ถ้าได้ดีไซน์แบบนี้ร่วมด้วยผมว่าน่าใช้กว่าสไลด์จอเปิดกล้องนะ,neu
แบตไม่อึด ใช้ไม่ถึงวัน จริงๆไม่น่าจะมีในมือถือรุ่นใหม่แล้วนะ,neu
แบตไม่ถึงวัน กล้องไม่มีกันสั่น,neu
Pubg เล่นนานใหมครับ ผม mi8 ปรับสุดได้ แต่เล่นไปสักพัก พอร้อนมากมันจะ dim แสงหน้าจอลง ทั้งๆที่ปรับสุด เล่นต่อไม่ได้เลย,neg
เฮ้ย... คือดีอ่ะ…,pos
ที่บ้านยังมาไม่ถึงเล๊ย...,neu
นึกว่า 799 ได้ 200 mbps หลังๆ เน็ตบ้านโปรเงียบเป็นป่าช้าเลย,neu
ซิมจาก unlimited 4Mbps กลายเป็น 10GB ขอผ่านอย่างแรง,neu
กล่องดู youtube ไม่ได้ ลงแอปเพิ่มก็ไม่ได้ ถ้าจะดูต้องใช้กล่องอื่น ตอนนี้เก็บ playbox ลงกล่องรอครบปี แล้วใช้ Mibox ลื่นๆ,neg
โปร Power 4 เมื่อก่อนได้ Sim เน็ต 4G Unlimit 4Mbps ไม่มีแล้วสินะ,neu
ติ่งออกนอกจอ 555,neg
ค่ายอื่นดูไว้ครับ... แล้วอย่าทำ 55555,neg
ห้ามตก ห้ามกระแทก ตั้งโต๊ะไว้อย่างเดียวเลย ถนอมยิ่งกว่าเมียอีก ทำแบบนี้,neg
ไม่สวยเลย เหมือนมีอะไรยื่นออกมา,neu
เอาน่า ดีกว่าจอแหว่ง ปล. ผมว่าจอโน้ตบุ๊ก​นี่น่าทำติ่งหยดน้ำไม่ก็ infinity-O มากเลย กินที่นิดเดียวเอง,neg
Bird Box สนุกๆ,neu
Worth หรือ Waste :D,neu
ซีรีส์ภาพสวยแต่เนื้อหาไม่ค่อยโดน ชอบสารคดีทำออกมาดีมาก,neg
เกือบซื้อไปแล้วเชียว แบบนี้ดีเลยรอไปอีกซักเดือนสองเดือน,neu
เก็บเงินรอ,pos
จะขายออกหรอ ไม่เอา RTX เข้ามา,neg
มันยังไม่มีตัว RTX2050 นะครับ,neu
สี่หมื่นแหนะ ผ่านๆ,neu
ถ้า Sony มาด้วยละก็นะ รองรับทั้ง Chromecast Airplay ตัวเดียวจบครบเครื่อง,neu
win win ทั้งคู่ ดีเลย,pos
แสดงว่าหาทางขยายให้ซื้อ service จาก itune มาโปะยอดขายมือถือสินะ,neu
มือถือขายไม่ดี หาทางเพิ่มรายได้แปป,neu
ดูหนังจะกระตุกไหม เมื่อมี OS เวอร์ชั่นใหม่ ?,neu
มาราคานี้ ดูน่าซื้อขึ้นมาเลย,pos
ตัวนี้ๆๆๆๆๆ ราคานี้ค่อยยังชั่ว,neu
บอร์ด​จะพังแบบรุ่น​พี่​ ๆ​ ไหมเนี่ย,neu
อูยยยยยยยย เเถม Anthem ด้วยยยยยยยยยยยย,neu
ราคารับได้ แต่เปิด ray แล้วจะใช้งานได้จริงหรือเปล่าค่อยว่ากัน,neu
ราคาประมาณนี้จะได้ฉุดราคาพวก 10x0 ในตลาดได้หน่อย,neu
รอดู benchmark หลายๆที่นะจ็ะ 1070 ผมยังโอเคอยู่,neu
"RX560X น่าจะเล่นเกมแรงๆ ไม่ได้แน่ เว้นแต่แนว Mainstream พวก Fortnite, PUBG, CS:GO ไม่ก็พวกเกมเก่า",neg
RX 560X นี่กากขนาดนั้นเลยเหรอครับ,neg
เคยลองแล้ว ก็น่าจะใกล้เคียงกับ GTX1050 นะครับ เล่นพอไหว แต่ปรับแรงไม่น่าไหว,neu
นึกถึงปุ่ม Turbo สมัย FC เลย,pos
"ฝ่ายหนึ่งต้องการปกป้องสิทธิ์ในตัวสินค้า ผลงาน และลิขสิทธิ์ของตนเอง อีกฝ่ายก็ต้องการความสะดวกสบายและเล่นเกมสนุกๆ เชื่อในอิสระและสิทธิ์ในการดัดแปลงแก้ไขใช้งานด้วยตัวเอง ผมว่าไม่มีคำว่าจบครับ ถ้าคนยังต้องการซะอย่าง กฎแบบนี้ออกมา พวก Trainer Mod, เกมดัดแปลง, Model Mod หรือแม้แต่ Fan-made Mission ก็เข้าข่ายผิดกฎหมายเลยนะสิ โดนกันถ้วนหน้า",neu
เหมือนซื้อหมูมา คนขายบอกให้เอาไปทอดไข่เจียวหมูสับ อยากใส่ผักเพิ่มไปก็ไม่ได้ เดี๋ยวจะโดนจับสรุปเราเป็นเจ้าของหมูไหม ทั้งๆที่เราก็ชื้อหมูมา ??,neu
จริงๆน่าจะออกกฏแบบนี้มาเพื่อจะจัดการกับพวกตัวโกงเกมใน multiplayer มากกว่า แล้วค่อยมาฟ้องรายเคสเอา แต่ถ้าเล่นหว่านแหเหมาทั้งหมดแบบนี้ ก็น่าจะไม่ค่อยมีใครอยาก mod กันหล่ะนะ,neg
ความตั้งใจแรก น่าจะเป็นกฎไว้ใช้จัดการกับ Mod H ทั้งหลายหรือเปล่านะ?,neu
"ผมว่าทำกันพวก Game Genie, Game Shark หรือ ตลับเล่น rom มากกว่านะครับ เพราะใช้คำว่า Console",neu
ญี่ปุ่นประกาศ แต่คน Hack Save อยู่แผ่นดินใหญ่โน่น,neu
พอจะมีกรณีให้ศึกษามั้ยครับ ว่าเพราะอะไรจึงควรให้การแก้ไขเนื้อหาเป็นสิ่งมีกฎหมาย,neu
สงสัยว่าทำไมให้ Thunbderbolt 3 หว่า,neu
จะงอมั่ยเนี่ย บางขนาดนี้,neg
อยากได้.....,pos
น่าสนใจมาก.,neu
น่าจะมี USB-C สองรู อย่างงี้ passthrough charging มันก็ไปได้แค่ USB type A เอง,neg
ถูกจัง Xiaomi shop ที่จีน นี่ตัวละลายทรัพย์ชัดๆ ไปทีไรหมดหลายพัน 555 ได้ Wireless charger มาราคา 69 Yuan ~ 300 บาท ใช้ดีมากๆ กับ Iphone 8+ รองรับ Qi เครื่องไม่ร้อนเหมือนพวกยี่ห้ออื่นๆใน Lazada ไม่ต้องซื้อ Belkin อันละ 1400 นี่กลับไปจีนอีกรอบ จะไปซื้อ มาอีกอัน เอามาวางไว้ในรถ และพวกสาย USB ต่างๆ แม้กระทั่ง แปรงสีฟัน เพื่อบอกซื้อมาแล้วใช้ดี,neg
ถูกและดีมีจริงสินะ รักจริงๆเลย Xiaomi,pos
ถูกมาก!! แต่เสียดายมี USB-C แค่พอร์ตเดียว,pos
ไม่ต้องซื้อ apple tv แล้ววววววววววว,neu
เยี่ยมเลย,pos
เงิบเลยทีเดียว,pos
ใจจริงอยากให้ทำลงมือถือด้วยนะ หนังใน Google Play Movie ขายแพงเกิน แถมยังแยก SD กับ HD อีก ถ้า Apple ทำมาลง เชื่อว่ามีโอกาสแย่งตลาดจากกูเกิลในส่วนนี้ได้ด้วย,neu
รอลง Android,neu
จบ ทีวีเครื่องต่อไป Samsung ละกัน,pos
ผมนี่รอประกาศ​ note iOS edition เลยครับ,neu
TV เครื่องต่อไปก็ Sony เหมือนเดิม #เข็ด,neg
นึกว่าจะเก็บ 4K เป็น exclusive ให้ apple tv แต่ดูแล้วดีลนี้น่าจะหลายอยู่ถึงได้ปล่อยให้ขนาดนี้,neu
จริงอย่างที่เขาลือ apple เริ่มรู้สึกตัวแล้วว่า iPhone ไม่สามารถเป็นแหล่งรายได้ที่มั่นคงได้ ดูจากปีที่ผ่านมาตลาดเริ่มอิ่มตัว ยอดขายลด จนต้องดันราคาเพิ่มเพื่อการันตีกำไร สุดท้ายแล้ว service ต่างหากที่ยั่งยืน Microsoft นี่อ่านเกมขาดจริง ๆ,neu
Intel มันยังไม่หลุดพ้นจากการทำโรงงานเอง มีสิทธิ์เจ๊งสูง เพราะจะผลิต 14nm ลงไป ลงทุนหนักมาก,neg
นึกว่าจะใช้ 7nm เป็น 28nm ตัวเก่านี่,neg
เคยมีคนเอา Chromebook เข้ามาขายในประเทศไทยแว๊บๆ(จำไม่ได้ค่ายไหน) แต่ตอนนี้ก็เห็นเงียบๆ ไป ไม่รู้ว่า เป็นยังไงบ้าง? ส่วนรู้สึกว่า มันไม่ได้ทำการตลาดอย่างเท่าที่ควรอ่ะ ผมยังเห็นโฆษณาไม่ถึง 5 ครั้งด้วยซ้ำไปนะ,neg
ของ true idc ครับ เรื่องการตลาดผมเห็นด้วย แต่มารุ่นเดียวก็เลิกทำต่อเลย จริงๆ chromebook น่าจะมีโอกาสโตในไทยสูง,pos
อืม ฟัง ขึ้น อยุ่,neu
แล้วถ้าทวิตผ่านเว็บเบราเซอร์ (ในไอโฟนนั่นแหละ) จะยังขึ้นอยู่ไหมครับ,neu
ไม่รู้ว่า twitter จะเขียน code ดักไว้ขนาดไหนนะครับ แต่จากที่เคยเขียน java script มันสามารถดักได้ว่าเป็น Browser Safari จาก iOS ได้ครับ อยู่ที่ว่าจะเอามาแสดงรึป่าวแค่นั้นแหละ,neu
ถึงไม่มี google play ก้อน่าจะมี store อื่นนะ และถึงไม่มี store อะไรเลย ก้อลง apk ได้อยู่ดี และเอาจริงๆ แทบจะไม่มีความจำเป็นอะไรที่จะต้องทำบนมือถือเลย vpn ใช้ไม่ได้ ก้อเข้าบน pc มั้ยเล่า ใช้ผ่าน browser เอายังได้เลย ส่วนตัวผมค่อนข้างเชื่อว่าที่ huawei หลุดเรื่องทวิตผ่าน iphone บ่อยๆ หรือ ใช้รูป ads ที่ถ่ายด้วย dslr นี่เป็นการตลาดอย่างนึง ที่เน้นการได้พื้นที่สื่อมากๆ ชุดแรก สื่อหลัก เอาไปลงก่อน ชุดสอง สื่อรองๆ ที่เล่นข่าวสนุก ลงต่อจากสื่อหลัก ชุดสาม ออกข่าว ลงโทษ ชุดสี่ ออกข่าว สาเหตุ ใช้ iphone ทวิตครั้งเดียว แต่คนเห็นชื่อ huawei ไปกี่ครั้งแล้ว คุ้มจริงๆ,neg
นายๆรู้ยัง twitter มันมี version lite เป็น PWA มันใช้ได้เหมือน app เลย ฉะนั้น ไปใช้ iphone ฟังไม่ขึ้นเท่าไหร่นะ ยิ่งเป็น tech company ด้วยแล้วเนี่ย,neu
คือเอาซิมฮ่องกงใส่เครื่องที่ทำขายต่างประเทศก็ได้ครับ เหตุผลที่ว่ามา ฟังไม่ขึ้นครับ,neg
เหตุผลอ่อนหัดสุดๆ ไม่โปรเลย บราวเซอร์ก็มี หรือว่าไม่รู้ว่ามันทำได้,neg
น่าสนใจว่าทำไมทั้งสองไม่ยอมย้ายซิมการ์ดจากไอโพนมาใส่โทรศัพท์แอนดรอยด์สักเครื่อง,neu
นี่บริษัทมือถือหรือซอมบี้ครับ อึดมาก,neu
แพง,neg
เรือธง สเปคธงเรือ ก็กินเกลือไปครับ,neg
ผลกรรมของการดื้อด้านเอาโลโก้ไว้ข้างหน้า แม้เครื่องจะยาวขอบจะหนาแบบไม่มีเหตุผลก็ตาม เตือนแล้วไม่ฟัง,neg
จำได้ช่วงฮิตๆ ตัวท็อป แต่สเป็ครุ่นรอง แถมราคาก็ขายเท่าเพื่อนๆ อีก,neg
"เคยคิดจะซื้อ แต่ไปหาข้อมูลเจอเรื่อง s-off, s-on แล้วเวียนหัว ก็เลยไม่ซื้อ",neg
"ไปไต้หวันมาเดือนที่แล้ว เจอ Shop HTC พร้อมวางขาย U12 ถึงกับอุทานในใจ ""ยังอยู่อีกเหรอวะ??"" คิดแล้วก็ใจหาย กับแบรนด์ที่เคยชอบมากๆ สมัยก่อน สุดท้ายก็ต้องลาจากเพราะ HTC one M7 เริ่มถูกแบรนด์อื่นทิ้งห่างเรื่องกล้อง",neg
น่าใจหายจริงๆ เป็นยี่ห้อที่เคยชอบมากๆแต่สินค้าเฟลติดๆจนอทบหายไปจากตลาดเลย ผมว่าแกควรขายแบรนด์ทิ้งแล้วเฟดตัวเองไปทำอย่างอื่นดีกว่านะ ดูยังไงก็มือถือคงไม่รุ่งแล้ว แบรนด์ไม่ได้แข็งเหมือนเมื่อก่อนแล้วจะเล่นตลาดบนก็ไม่ไหว จะไปสู้ตลาดกลางกับล่างก็ต้นทุนสู้อาเฮียแผ่นดินใหญ่ไม่ได้ VR ที่เคยจะเป็นแหล่งเงินใหม่ก็ดันกระแสเงียบซะอีก ไม่งั้นก็ขอไปควบรวมกิจการกับ บ.อื่นก็ได้ อย่าง Asus เป็นต้น,neg
HTC นี่ก็ตำนานอยู่นะ ในฐานะคนจุดกระแสแอนดรอย,neu
คราวนี้ค่ายไหนไม่ยอมใส่พอร์ต TB3 มา หมดข้ออ้างแล้วนะ...,neg
รอ จัดคอมปลายปีเลย,pos
รอดู Ryzen จะออกแบบชิป 7 nm ออกมาได้จริง ๆ หรือเปล่า,neu
มีสายฟ้าเวล 3 น่าใช้ขึ้นมาทันที,pos
7nm สงสัยจะสร้างยากแหะ แลไม่ค่อยมีใครไปเลย,neu
ดีๆๆพวก eGPU case จะได้ถูกลงบ้าง,neu
หมด Gen 9 จะขึ้นไรเลขรหัสรุ่นยังไงต่อเนี่ย,neu
เขาไป 7 นาโน แล้ว เพ่ เต่าแบบนี้,neg
