Human,texts,Prediction
neg,สไลด์ใช้จริงๆยากไปหน่อย จอมันลื่นเกินจะสไลด์จอลงมาได้ต้องสองนิ้ว เราต้องกด+บีบหนักๆช่วย เสียดายทำให้ต้องเลิกใช้วิธีการปลดล็อคด้วยใบหน้าที่เร็วมากๆไปเลย เพราะต้องมาเสียเวลาออกแรงสไลด์ แถมการใส่เคสที่แถมมาก็ไม่ช่วยอะไรเท่าไหร่ ไม่รู้ว่าคิดไปเองหรือเปล่า แต่เหมือน Dual GPS ก็แอบกินแบตฯหนักอยู่ โดยเฉพาะเวลาเล่น Pokemon GO ประทับใจการออกแบบเสาสัญญาในเครื่องมากๆ จับ WiFi กับสัญญาณมือถือได้ดีที่สุดตั้งแต่ใช้มาเลย เครื่องค่อนข้างกินแบตฯ ตอนนี้นั่งปรับแต่งมา 2 วันแล้วหวังว่าจะทำให้อยู่ได้ยาวกว่านี้ได้(ลอง Grayscale โหมดอยู่ไม่รู้จะช่วยได้ขนาดไหน)คือไม่อยากต้องมาแบกมือถือหนักๆติดตัวแล้วต้องมาแบก Power Bank ด้วย.....รู้สึกเจ็บปวดอ่ะ :-(,neg
neu,ถ้าสไลด์แบบนี้มาแรง แนวคีย์บอร์ด Physical สไลด์ข้างอาจกลับมาด้วย ผมชอบนะ แต่ชอบกล้องแบบ Pop-up ของค่ายนึงมากกว่า จำชื่อไม่ได้ ถ้าได้ดีไซน์แบบนี้ร่วมด้วยผมว่าน่าใช้กว่าสไลด์จอเปิดกล้องนะ,neu
neg,แบตไม่อึด ใช้ไม่ถึงวัน จริงๆไม่น่าจะมีในมือถือรุ่นใหม่แล้วนะ,neu
neg,แบตไม่ถึงวัน กล้องไม่มีกันสั่น,neu
neg,Pubg เล่นนานใหมครับ ผม mi8 ปรับสุดได้ แต่เล่นไปสักพัก พอร้อนมากมันจะ dim แสงหน้าจอลง ทั้งๆที่ปรับสุด เล่นต่อไม่ได้เลย,neg
pos,เฮ้ย... คือดีอ่ะ…,pos
neg,ที่บ้านยังมาไม่ถึงเล๊ย...,neu
neu,นึกว่า 799 ได้ 200 mbps หลังๆ เน็ตบ้านโปรเงียบเป็นป่าช้าเลย,neu
neu,ซิมจาก unlimited 4Mbps กลายเป็น 10GB ขอผ่านอย่างแรง,neu
neg,กล่องดู youtube ไม่ได้ ลงแอปเพิ่มก็ไม่ได้ ถ้าจะดูต้องใช้กล่องอื่น ตอนนี้เก็บ playbox ลงกล่องรอครบปี แล้วใช้ Mibox ลื่นๆ,neg
neu,โปร Power 4 เมื่อก่อนได้ Sim เน็ต 4G Unlimit 4Mbps ไม่มีแล้วสินะ,neu
neu,ติ่งออกนอกจอ 555,neg
neg,ค่ายอื่นดูไว้ครับ... แล้วอย่าทำ 55555,neg
neu,ห้ามตก ห้ามกระแทก ตั้งโต๊ะไว้อย่างเดียวเลย ถนอมยิ่งกว่าเมียอีก ทำแบบนี้,neg
neg,ไม่สวยเลย เหมือนมีอะไรยื่นออกมา,neu
neu,เอาน่า ดีกว่าจอแหว่ง ปล. ผมว่าจอโน้ตบุ๊ก​นี่น่าทำติ่งหยดน้ำไม่ก็ infinity-O มากเลย กินที่นิดเดียวเอง,neg
neu,Bird Box สนุกๆ,neu
neu,Worth หรือ Waste :D,neu
neu,ซีรีส์ภาพสวยแต่เนื้อหาไม่ค่อยโดน ชอบสารคดีทำออกมาดีมาก,neg
pos,เกือบซื้อไปแล้วเชียว แบบนี้ดีเลยรอไปอีกซักเดือนสองเดือน,neu
pos,เก็บเงินรอ,pos
neg,จะขายออกหรอ ไม่เอา RTX เข้ามา,neg
neu,มันยังไม่มีตัว RTX2050 นะครับ,neu
neu,สี่หมื่นแหนะ ผ่านๆ,neu
neu,ถ้า Sony มาด้วยละก็นะ รองรับทั้ง Chromecast Airplay ตัวเดียวจบครบเครื่อง,neu
neu,win win ทั้งคู่ ดีเลย,pos
neu,แสดงว่าหาทางขยายให้ซื้อ service จาก itune มาโปะยอดขายมือถือสินะ,neu
neu,มือถือขายไม่ดี หาทางเพิ่มรายได้แปป,neu
neu,ดูหนังจะกระตุกไหม เมื่อมี OS เวอร์ชั่นใหม่ ?,neu
pos,มาราคานี้ ดูน่าซื้อขึ้นมาเลย,pos
pos,ตัวนี้ๆๆๆๆๆ ราคานี้ค่อยยังชั่ว,neu
neu,บอร์ด​จะพังแบบรุ่น​พี่​ ๆ​ ไหมเนี่ย,neu
neu,อูยยยยยยยย เเถม Anthem ด้วยยยยยยยยยยยย,neu
neu,ราคารับได้ แต่เปิด ray แล้วจะใช้งานได้จริงหรือเปล่าค่อยว่ากัน,neu
neu,ราคาประมาณนี้จะได้ฉุดราคาพวก 10x0 ในตลาดได้หน่อย,neu
neu,รอดู benchmark หลายๆที่นะจ็ะ 1070 ผมยังโอเคอยู่,neu
neu,"RX560X น่าจะเล่นเกมแรงๆ ไม่ได้แน่ เว้นแต่แนว Mainstream พวก Fortnite, PUBG, CS:GO ไม่ก็พวกเกมเก่า",neg
neg,RX 560X นี่กากขนาดนั้นเลยเหรอครับ,neg
neu,เคยลองแล้ว ก็น่าจะใกล้เคียงกับ GTX1050 นะครับ เล่นพอไหว แต่ปรับแรงไม่น่าไหว,neu
neu,นึกถึงปุ่ม Turbo สมัย FC เลย,pos
neu,"ฝ่ายหนึ่งต้องการปกป้องสิทธิ์ในตัวสินค้า ผลงาน และลิขสิทธิ์ของตนเอง อีกฝ่ายก็ต้องการความสะดวกสบายและเล่นเกมสนุกๆ เชื่อในอิสระและสิทธิ์ในการดัดแปลงแก้ไขใช้งานด้วยตัวเอง ผมว่าไม่มีคำว่าจบครับ ถ้าคนยังต้องการซะอย่าง กฎแบบนี้ออกมา พวก Trainer Mod, เกมดัดแปลง, Model Mod หรือแม้แต่ Fan-made Mission ก็เข้าข่ายผิดกฎหมายเลยนะสิ โดนกันถ้วนหน้า",neu
neu,เหมือนซื้อหมูมา คนขายบอกให้เอาไปทอดไข่เจียวหมูสับ อยากใส่ผักเพิ่มไปก็ไม่ได้ เดี๋ยวจะโดนจับสรุปเราเป็นเจ้าของหมูไหม ทั้งๆที่เราก็ชื้อหมูมา ??,neu
neg,จริงๆน่าจะออกกฏแบบนี้มาเพื่อจะจัดการกับพวกตัวโกงเกมใน multiplayer มากกว่า แล้วค่อยมาฟ้องรายเคสเอา แต่ถ้าเล่นหว่านแหเหมาทั้งหมดแบบนี้ ก็น่าจะไม่ค่อยมีใครอยาก mod กันหล่ะนะ,neg
neu,ความตั้งใจแรก น่าจะเป็นกฎไว้ใช้จัดการกับ Mod H ทั้งหลายหรือเปล่านะ?,neu
pos,"ผมว่าทำกันพวก Game Genie, Game Shark หรือ ตลับเล่น rom มากกว่านะครับ เพราะใช้คำว่า Console",neu
neu,ญี่ปุ่นประกาศ แต่คน Hack Save อยู่แผ่นดินใหญ่โน่น,neu
neu,พอจะมีกรณีให้ศึกษามั้ยครับ ว่าเพราะอะไรจึงควรให้การแก้ไขเนื้อหาเป็นสิ่งมีกฎหมาย,neu
neu,สงสัยว่าทำไมให้ Thunbderbolt 3 หว่า,neu
neg,จะงอมั่ยเนี่ย บางขนาดนี้,neg
pos,อยากได้.....,pos
pos,น่าสนใจมาก.,neu
neg,น่าจะมี USB-C สองรู อย่างงี้ passthrough charging มันก็ไปได้แค่ USB type A เอง,neg
pos,ถูกจัง Xiaomi shop ที่จีน นี่ตัวละลายทรัพย์ชัดๆ ไปทีไรหมดหลายพัน 555 ได้ Wireless charger มาราคา 69 Yuan ~ 300 บาท ใช้ดีมากๆ กับ Iphone 8+ รองรับ Qi เครื่องไม่ร้อนเหมือนพวกยี่ห้ออื่นๆใน Lazada ไม่ต้องซื้อ Belkin อันละ 1400 นี่กลับไปจีนอีกรอบ จะไปซื้อ มาอีกอัน เอามาวางไว้ในรถ และพวกสาย USB ต่างๆ แม้กระทั่ง แปรงสีฟัน เพื่อบอกซื้อมาแล้วใช้ดี,neg
pos,ถูกและดีมีจริงสินะ รักจริงๆเลย Xiaomi,pos
pos,ถูกมาก!! แต่เสียดายมี USB-C แค่พอร์ตเดียว,pos
neu,ไม่ต้องซื้อ apple tv แล้ววววววววววว,neu
pos,เยี่ยมเลย,pos
neu,เงิบเลยทีเดียว,pos
neu,ใจจริงอยากให้ทำลงมือถือด้วยนะ หนังใน Google Play Movie ขายแพงเกิน แถมยังแยก SD กับ HD อีก ถ้า Apple ทำมาลง เชื่อว่ามีโอกาสแย่งตลาดจากกูเกิลในส่วนนี้ได้ด้วย,neu
neu,รอลง Android,neu
pos,จบ ทีวีเครื่องต่อไป Samsung ละกัน,pos
neu,ผมนี่รอประกาศ​ note iOS edition เลยครับ,neu
neg,TV เครื่องต่อไปก็ Sony เหมือนเดิม #เข็ด,neg
neu,นึกว่าจะเก็บ 4K เป็น exclusive ให้ apple tv แต่ดูแล้วดีลนี้น่าจะหลายอยู่ถึงได้ปล่อยให้ขนาดนี้,neu
pos,จริงอย่างที่เขาลือ apple เริ่มรู้สึกตัวแล้วว่า iPhone ไม่สามารถเป็นแหล่งรายได้ที่มั่นคงได้ ดูจากปีที่ผ่านมาตลาดเริ่มอิ่มตัว ยอดขายลด จนต้องดันราคาเพิ่มเพื่อการันตีกำไร สุดท้ายแล้ว service ต่างหากที่ยั่งยืน Microsoft นี่อ่านเกมขาดจริง ๆ,neu
neg,Intel มันยังไม่หลุดพ้นจากการทำโรงงานเอง มีสิทธิ์เจ๊งสูง เพราะจะผลิต 14nm ลงไป ลงทุนหนักมาก,neg
neg,นึกว่าจะใช้ 7nm เป็น 28nm ตัวเก่านี่,neg
neg,เคยมีคนเอา Chromebook เข้ามาขายในประเทศไทยแว๊บๆ(จำไม่ได้ค่ายไหน) แต่ตอนนี้ก็เห็นเงียบๆ ไป ไม่รู้ว่า เป็นยังไงบ้าง? ส่วนรู้สึกว่า มันไม่ได้ทำการตลาดอย่างเท่าที่ควรอ่ะ ผมยังเห็นโฆษณาไม่ถึง 5 ครั้งด้วยซ้ำไปนะ,neg
pos,ของ true idc ครับ เรื่องการตลาดผมเห็นด้วย แต่มารุ่นเดียวก็เลิกทำต่อเลย จริงๆ chromebook น่าจะมีโอกาสโตในไทยสูง,pos
neu,อืม ฟัง ขึ้น อยุ่,neu
neu,แล้วถ้าทวิตผ่านเว็บเบราเซอร์ (ในไอโฟนนั่นแหละ) จะยังขึ้นอยู่ไหมครับ,neu
neu,ไม่รู้ว่า twitter จะเขียน code ดักไว้ขนาดไหนนะครับ แต่จากที่เคยเขียน java script มันสามารถดักได้ว่าเป็น Browser Safari จาก iOS ได้ครับ อยู่ที่ว่าจะเอามาแสดงรึป่าวแค่นั้นแหละ,neu
pos,ถึงไม่มี google play ก้อน่าจะมี store อื่นนะ และถึงไม่มี store อะไรเลย ก้อลง apk ได้อยู่ดี และเอาจริงๆ แทบจะไม่มีความจำเป็นอะไรที่จะต้องทำบนมือถือเลย vpn ใช้ไม่ได้ ก้อเข้าบน pc มั้ยเล่า ใช้ผ่าน browser เอายังได้เลย ส่วนตัวผมค่อนข้างเชื่อว่าที่ huawei หลุดเรื่องทวิตผ่าน iphone บ่อยๆ หรือ ใช้รูป ads ที่ถ่ายด้วย dslr นี่เป็นการตลาดอย่างนึง ที่เน้นการได้พื้นที่สื่อมากๆ ชุดแรก สื่อหลัก เอาไปลงก่อน ชุดสอง สื่อรองๆ ที่เล่นข่าวสนุก ลงต่อจากสื่อหลัก ชุดสาม ออกข่าว ลงโทษ ชุดสี่ ออกข่าว สาเหตุ ใช้ iphone ทวิตครั้งเดียว แต่คนเห็นชื่อ huawei ไปกี่ครั้งแล้ว คุ้มจริงๆ,neg
